"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"sparc_exu_rml_inc3","1 a22o_1, 1 clkinv_1, 1 nand2_1, 1 or2_0, 2 xnor2_1, 1 xor2_1","1*8.76 + 1*3.75 + 1*3.75 + 1*6.26 + 2*8.76 + 1*8.76",48.8,"0.19 + 0.2 + 0.1",0.49,"1*4.06 + 1*1.57 + 1*2.12 + 1*1.26 + 2*2.07 + 1*4.28",17.43
"GTX_DRP_CHANALIGN_FIX_3752_V6","1 a21boi_0, 6 a21oi_1, 2 a31oi_1, 4 and2_0, 2 and3_1, 2 and4_1, 1 and4b_1, 2 clkinv_1, 1 conb_1, 14 dfxtp_1, 15 nand2_1, 3 nand2b_1, 3 nand3_1, 1 nand3b_1, 1 nand4b_1, 1 nand4bb_1, 8 nor2_1, 1 nor2b_1, 7 nor3_1, 2 nor3b_1, 2 nor4b_1, 1 nor4bb_1, 1 o2111a_1, 1 o2111ai_1, 2 o211ai_1, 4 o21ai_0, 1 o2bb2ai_1, 1 or2_0, 2 or3_1, 1 or3b_1, 1 xnor2_1, 1 xor2_1","1*7.51 + 6*5.0 + 2*6.26 + 4*6.26 + 2*6.26 + 2*8.76 + 1*10.01 + 2*3.75 + 1*3.75 + 14*20.02 + 15*3.75 + 3*6.26 + 3*5.0 + 1*7.51 + 1*8.76 + 1*11.26 + 8*3.75 + 1*6.26 + 7*5.0 + 2*7.51 + 2*8.76 + 1*10.01 + 1*11.26 + 1*8.76 + 2*7.51 + 4*5.0 + 1*8.76 + 1*6.26 + 2*6.26 + 1*8.76 + 1*8.76 + 1*8.76",746.88,"0.39 + 0.38 + 0.31 + 0.21 + 0.27 + 0.21 + 0.14",1.91,"1*2.48 + 6*1.65 + 2*1.48 + 4*1.92 + 2*5.59 + 2*3.4 + 1*5.99 + 2*1.57 + 1*3.24 + 14*8.44 + 15*2.12 + 3*2.25 + 3*1.03 + 1*1.4 + 1*1.03 + 1*1.9 + 8*1.97 + 1*2.18 + 7*0.93 + 2*1.3 + 2*0.91 + 1*3.2 + 1*3.75 + 1*0.58 + 2*0.7 + 4*1.04 + 1*1.85 + 1*1.26 + 2*1.28 + 1*2.59 + 1*2.07 + 1*4.28",274.07
"multiplexer","1 and3_1, 1 conb_1, 1 xor2_1","1*6.26 + 1*3.75 + 1*8.76",18.77,"0.13",0.13,"1*5.59 + 1*3.24 + 1*4.28",13.11
"counter","1 a21o_1, 3 a21oi_1, 1 clkinv_1, 4 dfxtp_1, 1 nand3_1, 3 nor2_1, 2 nor2b_1, 2 nor3_1, 1 o21a_1, 1 xnor2_1, 1 xor2_1","1*7.51 + 3*5.0 + 1*3.75 + 4*20.02 + 1*5.0 + 3*3.75 + 2*6.26 + 2*5.0 + 1*7.51 + 1*8.76 + 1*8.76",170.14,"0.34 + 0.12 + 0.13 + 0.15",0.74,"1*5.9 + 3*1.65 + 1*1.57 + 4*8.44 + 1*1.03 + 3*1.97 + 2*2.18 + 2*0.93 + 1*2.21 + 1*2.07 + 1*4.28",67.9
"address","1 a2111oi_0, 1 a211o_1, 4 a211oi_1, 2 a21o_1, 32 a21oi_1, 1 a22oi_1, 2 a2bb2oi_1, 1 a311oi_1, 1 a31o_1, 26 a31oi_1, 2 a32o_1, 1 a41oi_1, 4 and2_0, 4 and3_1, 1 and4_1, 4 clkinv_1, 10 mux2i_1, 53 nand2_1, 7 nand2b_1, 24 nand3_1, 4 nand3b_1, 10 nand4_1, 1 nand4b_1, 1 nand4bb_1, 30 nor2_1, 1 nor2b_1, 10 nor3_1, 2 nor3b_1, 7 nor4_1, 1 o2111ai_1, 7 o211ai_1, 1 o21a_1, 31 o21ai_0, 2 o221ai_1, 2 o22a_1, 2 o22ai_1, 1 o311a_1, 11 o31a_1, 1 o31ai_1, 1 o41ai_1, 3 or2_0, 3 or3_1, 1 or3b_1, 5 or4_1, 1 or4b_1, 2 xnor2_1, 2 xor2_1","1*8.76 + 1*8.76 + 4*7.51 + 2*7.51 + 32*5.0 + 1*7.51 + 2*8.76 + 1*8.76 + 1*8.76 + 26*6.26 + 2*10.01 + 1*8.76 + 4*6.26 + 4*6.26 + 1*8.76 + 4*3.75 + 10*10.01 + 53*3.75 + 7*6.26 + 24*5.0 + 4*7.51 + 10*6.26 + 1*8.76 + 1*11.26 + 30*3.75 + 1*6.26 + 10*5.0 + 2*7.51 + 7*6.26 + 1*8.76 + 7*7.51 + 1*7.51 + 31*5.0 + 2*8.76 + 2*8.76 + 2*6.26 + 1*10.01 + 11*8.76 + 1*7.51 + 1*8.76 + 3*6.26 + 3*6.26 + 1*8.76 + 5*7.51 + 1*10.01 + 2*8.76 + 2*8.76",1856.4,"0.14 + 0.48 + 0.39 + 0.22 + 0.79 + 0.79 + 0.89 + 0.09 + 0.21",4.0,"1*0.42 + 1*3.14 + 4*0.98 + 2*5.9 + 32*1.65 + 1*2.58 + 2*3.38 + 1*0.97 + 1*2.37 + 26*1.48 + 2*2.3 + 1*1.36 + 4*1.92 + 4*5.59 + 1*3.4 + 4*1.57 + 10*5.89 + 53*2.12 + 7*2.25 + 24*1.03 + 4*1.4 + 10*0.53 + 1*1.03 + 1*1.9 + 30*1.97 + 1*2.18 + 10*0.93 + 2*1.3 + 7*0.5 + 1*0.58 + 7*0.7 + 1*2.21 + 31*1.04 + 2*1.09 + 2*2.76 + 2*1.31 + 1*3.77 + 11*2.07 + 1*1.7 + 1*1.39 + 3*1.26 + 3*1.28 + 1*2.59 + 5*0.85 + 1*2.14 + 2*2.07 + 2*4.28",580.34
"Week8Lab","1 a211oi_1, 2 a21oi_1, 5 a31oi_1, 2 and2_0, 2 and3_1, 6 and4_1, 1 and4b_1, 8 clkinv_1, 1 conb_1, 38 dfxtp_1, 9 nand2_1, 1 nand2b_1, 1 nand3_1, 4 nand4_1, 16 nor2_1, 1 nor2b_1, 8 nor3_1, 2 nor3b_1, 2 nor4_1, 1 or2_0, 2 or3_1, 2 or4_1, 8 xnor2_1, 5 xor2_1","1*7.51 + 2*5.0 + 5*6.26 + 2*6.26 + 2*6.26 + 6*8.76 + 1*10.01 + 8*3.75 + 1*3.75 + 38*20.02 + 9*3.75 + 1*6.26 + 1*5.0 + 4*6.26 + 16*3.75 + 1*6.26 + 8*5.0 + 2*7.51 + 2*6.26 + 1*6.26 + 2*6.26 + 2*7.51 + 8*8.76 + 5*8.76",1282.46,"0.35 + 0.25 + 0.21 + 0.25 + 0.27 + 0.15 + 0.48 + 0.35 + 0.29 + 0.14 + 0.15",2.89,"1*0.98 + 2*1.65 + 5*1.48 + 2*1.92 + 2*5.59 + 6*3.4 + 1*5.99 + 8*1.57 + 1*3.24 + 38*8.44 + 9*2.12 + 1*2.25 + 1*1.03 + 4*0.53 + 16*1.97 + 1*2.18 + 8*0.93 + 2*1.3 + 2*0.5 + 1*1.26 + 2*1.28 + 2*0.85 + 8*2.07 + 5*4.28",502.31
"multiplier_block","1 a211oi_1, 4 a21o_1, 21 a21oi_1, 2 a221oi_1, 1 a22oi_1, 1 a311oi_1, 1 a31oi_1, 5 and2_0, 3 and3_1, 15 clkinv_1, 1 conb_1, 27 maj3_1, 15 nand2_1, 8 nand2b_1, 6 nand3_1, 35 nor2_1, 2 nor2b_1, 1 nor3_1, 1 o211ai_1, 5 o21ai_0, 4 o31ai_1, 2 o32ai_1, 5 or2_0, 73 xnor2_1, 1 xnor3_1, 46 xor2_1","1*7.51 + 4*7.51 + 21*5.0 + 2*8.76 + 1*7.51 + 1*8.76 + 1*6.26 + 5*6.26 + 3*6.26 + 15*3.75 + 1*3.75 + 27*10.01 + 15*3.75 + 8*6.26 + 6*5.0 + 35*3.75 + 2*6.26 + 1*5.0 + 1*7.51 + 5*5.0 + 4*7.51 + 2*8.76 + 5*6.26 + 73*8.76 + 1*22.52 + 46*8.76",2024.38,"0.17 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.38 + 0.36 + 0.15 + 0.37 + 0.37 + 0.37 + 0.39 + 0.38 + 0.33 + 0.14 + 0.38 + 0.26 + 0.13 + 0.37 + 0.35 + 0.11",7.35,"1*0.98 + 4*5.9 + 21*1.65 + 2*1.78 + 1*2.58 + 1*0.97 + 1*1.48 + 5*1.92 + 3*5.59 + 15*1.57 + 1*3.24 + 27*2.09 + 15*2.12 + 8*2.25 + 6*1.03 + 35*1.97 + 2*2.18 + 1*0.93 + 1*0.7 + 5*1.04 + 4*1.7 + 2*1.09 + 5*1.26 + 73*2.07 + 1*15.62 + 46*4.28",692.42
"sky130_fd_sc_hvl__inv","1 clkinv_1","1*3.75",3.75,"0.02",0.02,"1*1.57",1.57
"shift_register_4bit","6 a21oi_1, 12 dfxtp_1, 5 mux2i_1, 7 nand2_1, 3 nand2b_1, 6 nor2_1","6*5.0 + 12*20.02 + 5*10.01 + 7*3.75 + 3*6.26 + 6*3.75",387.82,"0.28 + 0.11 + 0.04",0.43,"6*1.65 + 12*8.44 + 5*5.89 + 7*2.12 + 3*2.25 + 6*1.97",174.04
"mux_3to1_enable","4 a211oi_1, 1 clkinv_1, 4 mux2i_1, 4 nor2b_1, 1 o21ai_0","4*7.51 + 1*3.75 + 4*10.01 + 4*6.26 + 1*5.0",103.87,"0.29 + 0.06",0.35,"4*0.98 + 1*1.57 + 4*5.89 + 4*2.18 + 1*1.04",38.81
"FSM","1 a22oi_1, 2 and2_0, 1 buf_1, 1 conb_1, 5 dlxtn_1, 1 mux2_1, 5 nand2_1, 1 nand2b_1, 3 nand3_1, 1 nand4_1, 1 nor2_1, 2 nor2b_1, 1 nor3_1, 1 nor3b_1, 1 o21ai_0, 1 o22ai_1, 1 o311ai_0","1*7.51 + 2*6.26 + 1*3.75 + 1*3.75 + 5*15.01 + 1*11.26 + 5*3.75 + 1*6.26 + 3*5.0 + 1*6.26 + 1*3.75 + 2*6.26 + 1*5.0 + 1*7.51 + 1*5.0 + 1*6.26 + 1*8.76",208.91,"0.15 + 0.34 + 0.23",0.72,"1*2.58 + 2*1.92 + 1*1.18 + 1*3.24 + 5*8.12 + 1*4.03 + 5*2.12 + 1*2.25 + 3*1.03 + 1*0.53 + 1*1.97 + 2*2.18 + 1*0.93 + 1*1.3 + 1*1.04 + 1*1.31 + 1*0.64",83.49
"mux3","3 mux2_1","3*11.26",33.78,"0.26",0.26,"3*4.03",12.09
"shift_register","1 a221o_1, 1 a22o_1, 1 and3b_1, 1 conb_1, 3 dfxtp_1, 2 mux2_1, 1 nor2_1, 1 nor3_1","1*10.01 + 1*8.76 + 1*8.76 + 1*3.75 + 3*20.02 + 2*11.26 + 1*3.75 + 1*5.0",122.61,"0.29 + 0.26 + 0.27",0.82,"1*2.66 + 1*4.06 + 1*7.06 + 1*3.24 + 3*8.44 + 2*4.03 + 1*1.97 + 1*0.93",53.3
"top_module","2 a211oi_1, 5 a21o_1, 97 a21oi_1, 8 a221o_1, 15 a221oi_1, 2 a22o_1, 6 a22oi_1, 1 a2bb2oi_1, 1 a311o_1, 6 a311oi_1, 1 a31o_1, 21 a31oi_1, 1 a32oi_1, 4 and2_0, 3 and3_1, 15 clkinv_1, 2064 dfxtp_1, 2044 mux2_1, 65 mux2i_1, 494 mux4_2, 208 nand2_1, 15 nand2b_1, 29 nand3_1, 2 nand4_1, 356 nor2_1, 14 nor2b_1, 9 nor3_1, 1 nor3b_1, 4 nor4_1, 2 o211a_1, 14 o211ai_1, 2 o21a_1, 186 o21ai_0, 1 o21bai_1, 2 o221a_1, 69 o221ai_1, 1 o22a_1, 14 o22ai_1, 4 o311a_1, 5 o311ai_0, 3 o31ai_1, 1 or2_0, 2 or3_1, 8 xnor2_1, 1 xor2_1","2*7.51 + 5*7.51 + 97*5.0 + 8*10.01 + 15*8.76 + 2*8.76 + 6*7.51 + 1*8.76 + 1*10.01 + 6*8.76 + 1*8.76 + 21*6.26 + 1*8.76 + 4*6.26 + 3*6.26 + 15*3.75 + 2064*20.02 + 2044*11.26 + 65*10.01 + 494*22.52 + 208*3.75 + 15*6.26 + 29*5.0 + 2*6.26 + 356*3.75 + 14*6.26 + 9*5.0 + 1*7.51 + 4*6.26 + 2*10.01 + 14*7.51 + 2*7.51 + 186*5.0 + 1*7.51 + 2*11.26 + 69*8.76 + 1*8.76 + 14*6.26 + 4*10.01 + 5*8.76 + 3*7.51 + 1*6.26 + 2*6.26 + 8*8.76 + 1*8.76",81780.91,"2.24 + 1.56 + 0.2 + 0.14 + 0.08 + 0.04 + 0.12",4.38,"2*0.98 + 5*5.9 + 97*1.65 + 8*2.66 + 15*1.78 + 2*4.06 + 6*2.58 + 1*3.38 + 1*1.57 + 6*0.97 + 1*2.37 + 21*1.48 + 1*1.25 + 4*1.92 + 3*5.59 + 15*1.57 + 2064*8.44 + 2044*4.03 + 65*5.89 + 494*6.37 + 208*2.12 + 15*2.25 + 29*1.03 + 2*0.53 + 356*1.97 + 14*2.18 + 9*0.93 + 1*1.3 + 4*0.5 + 2*10.66 + 14*0.7 + 2*2.21 + 186*1.04 + 1*2.87 + 2*2.73 + 69*1.09 + 1*2.76 + 14*1.31 + 4*3.77 + 5*0.64 + 3*1.7 + 1*1.26 + 2*1.28 + 8*2.07 + 1*4.28",31174.48
"ClockInverter","1 clkinv_1, 1 conb_1","1*3.75 + 1*3.75",7.5,"0.02",0.02,"1*1.57 + 1*3.24",4.81
"eth_rxcounters","3 a2111oi_0, 3 a211oi_1, 3 a21o_1, 8 a21oi_1, 2 a221oi_1, 3 a22o_1, 2 a2bb2oi_1, 2 a311oi_1, 1 a31o_1, 5 a31oi_1, 1 a32o_1, 1 a41o_1, 4 a41oi_1, 3 and2_0, 5 and3_1, 3 and4_1, 1 and4b_1, 36 clkinv_1, 25 dfrtp_1, 18 nand2_1, 3 nand2b_1, 6 nand3_1, 5 nand4_1, 1 nand4b_1, 29 nor2_1, 9 nor2b_1, 12 nor3_1, 2 nor3b_1, 3 nor4_1, 1 o2111ai_1, 1 o211a_1, 1 o21a_1, 1 o21ai_0, 1 o21ba_1, 1 o21bai_1, 2 o221a_1, 1 o311ai_0, 1 o31ai_1, 1 o41a_1, 3 or2_0, 13 xnor2_1, 6 xor2_1","3*8.76 + 3*7.51 + 3*7.51 + 8*5.0 + 2*8.76 + 3*8.76 + 2*8.76 + 2*8.76 + 1*8.76 + 5*6.26 + 1*10.01 + 1*10.01 + 4*8.76 + 3*6.26 + 5*6.26 + 3*8.76 + 1*10.01 + 36*3.75 + 25*25.02 + 18*3.75 + 3*6.26 + 6*5.0 + 5*6.26 + 1*8.76 + 29*3.75 + 9*6.26 + 12*5.0 + 2*7.51 + 3*6.26 + 1*8.76 + 1*10.01 + 1*7.51 + 1*5.0 + 1*10.01 + 1*7.51 + 2*11.26 + 1*8.76 + 1*7.51 + 1*11.26 + 3*6.26 + 13*8.76 + 6*8.76",1831.47,"0.11 + 0.29 + 0.15 + 0.28 + 0.11 + 0.11",1.05,"3*0.42 + 3*0.98 + 3*5.9 + 8*1.65 + 2*1.78 + 3*4.06 + 2*3.38 + 2*0.97 + 1*2.37 + 5*1.48 + 1*2.3 + 1*6.61 + 4*1.36 + 3*1.92 + 5*5.59 + 3*3.4 + 1*5.99 + 36*1.57 + 25*11.65 + 18*2.12 + 3*2.25 + 6*1.03 + 5*0.53 + 1*1.03 + 29*1.97 + 9*2.18 + 12*0.93 + 2*1.3 + 3*0.5 + 1*0.58 + 1*10.66 + 1*2.21 + 1*1.04 + 1*7.27 + 1*2.87 + 2*2.73 + 1*0.64 + 1*1.7 + 1*1.37 + 3*1.26 + 13*2.07 + 6*4.28",718.28
"clk_adapter","1 clkinv_1, 4 dfxtp_1, 1 nand2_1, 1 nand2b_1, 2 nor2_1, 1 o21ai_0","1*3.75 + 4*20.02 + 1*3.75 + 1*6.26 + 2*3.75 + 1*5.0",106.34,"0.32 + 0.06",0.38,"1*1.57 + 4*8.44 + 1*2.12 + 1*2.25 + 2*1.97 + 1*1.04",44.68
"even_consecutive_ones_detection","1 a21oi_1, 1 and3_1, 2 clkinv_1, 5 dfxtp_1, 1 nand2b_1, 4 nor2_1, 1 nor3_1","1*5.0 + 1*6.26 + 2*3.75 + 5*20.02 + 1*6.26 + 4*3.75 + 1*5.0",145.12,"0.29 + 0.15 + 0.1",0.54,"1*1.65 + 1*5.59 + 2*1.57 + 5*8.44 + 1*2.25 + 4*1.97 + 1*0.93",63.64
"Output_Reg","1 a2111oi_0, 1 a21boi_0, 2 a21o_1, 4 a21oi_1, 3 a221o_1, 2 a22oi_1, 1 a311oi_1, 1 and2_0, 1 and3_1, 1 clkinv_1, 8 dfxtp_1, 1 maj3_1, 15 nand2_1, 3 nand2b_1, 2 nand3_1, 4 nor2_1, 2 nor3_1, 10 o21ai_0, 2 o31ai_1, 2 or2_0, 4 xnor2_1, 12 xor2_1","1*8.76 + 1*7.51 + 2*7.51 + 4*5.0 + 3*10.01 + 2*7.51 + 1*8.76 + 1*6.26 + 1*6.26 + 1*3.75 + 8*20.02 + 1*10.01 + 15*3.75 + 3*6.26 + 2*5.0 + 4*3.75 + 2*5.0 + 10*5.0 + 2*7.51 + 2*6.26 + 4*8.76 + 12*8.76",619.27,"0.32 + 0.2 + 0.22 + 0.18 + 0.09 + 0.2 + 0.19 + 0.19 + 0.07 + 0.14 + 0.05 + 0.26",2.11,"1*0.42 + 1*2.48 + 2*5.9 + 4*1.65 + 3*2.66 + 2*2.58 + 1*0.97 + 1*1.92 + 1*5.59 + 1*1.57 + 8*8.44 + 1*2.09 + 15*2.12 + 3*2.25 + 2*1.03 + 4*1.97 + 2*0.93 + 10*1.04 + 2*1.7 + 2*1.26 + 4*2.07 + 12*4.28",240.41
"sky130_fd_sc_hd__lpflow_inputiso1p","1 or2_0","1*6.26",6.26,"0.17",0.17,"1*1.26",1.26
"dp_transmitter","1 a21o_1, 2 a21oi_1, 2 a22o_1, 1 a31oi_1, 31 and2_0, 3 clkinv_1, 39 dfrtp_1, 1 dfstp_2, 8 nand2_1, 1 nand3_1, 1 nand4_1, 4 nor2_1, 2 nor3_1, 1 nor3b_1, 7 nor4_1, 1 nor4bb_1, 3 o21ai_0, 1 o22a_1, 1 o2bb2ai_1, 1 o31ai_1, 1 or3_1","1*7.51 + 2*5.0 + 2*8.76 + 1*6.26 + 31*6.26 + 3*3.75 + 39*25.02 + 1*26.28 + 8*3.75 + 1*5.0 + 1*6.26 + 4*3.75 + 2*5.0 + 1*7.51 + 7*6.26 + 1*10.01 + 3*5.0 + 1*8.76 + 1*8.76 + 1*7.51 + 1*6.26",1422.55,"0.39 + 1.17 + 0.32 + 0.09 + 0.2",2.17,"1*5.9 + 2*1.65 + 2*4.06 + 1*1.48 + 31*1.92 + 3*1.57 + 39*11.65 + 1*10.52 + 8*2.12 + 1*1.03 + 1*0.53 + 4*1.97 + 2*0.93 + 1*1.3 + 7*0.5 + 1*3.2 + 3*1.04 + 1*2.76 + 1*1.85 + 1*1.7 + 1*1.28",594.87
"altera_avalon_st_pipeline_base","2 a21oi_1, 19 clkinv_1, 18 dfrtp_1, 16 mux2_1, 1 nand2_1, 2 nand2b_1, 1 nand3_1","2*5.0 + 19*3.75 + 18*25.02 + 16*11.26 + 1*3.75 + 2*6.26 + 1*5.0",733.04,"0.51 + 0.36 + 0.29",1.16,"2*1.65 + 19*1.57 + 18*11.65 + 16*4.03 + 1*2.12 + 2*2.25 + 1*1.03",314.96
"data_module","1 dfxtp_1, 1 nor2_1, 1 o21ai_0","1*20.02 + 1*3.75 + 1*5.0",28.77,"0.13 + 0.05",0.18,"1*8.44 + 1*1.97 + 1*1.04",11.45
"sky130_fd_sc_ls__and3","1 and3_1","1*6.26",6.26,"0.13",0.13,"1*5.59",5.59
"shift_reg","5 clkinv_1, 5 dfrtp_1, 1 nor4_1, 4 xor2_1","5*3.75 + 5*25.02 + 1*6.26 + 4*8.76",185.15,"0.36 + 0.14 + 0.24",0.74,"5*1.57 + 5*11.65 + 1*0.5 + 4*4.28",83.72
"ls_station","1 a2111o_1, 1 a2111oi_0, 6 a21o_1, 6 a21oi_1, 43 a222oi_1, 10 a22o_1, 3 a311oi_1, 1 a31oi_1, 1 a41o_1, 3 a41oi_1, 5 and2_0, 8 clkinv_1, 183 dfrtp_1, 2 dfstp_2, 76 mux2_1, 2 mux4_2, 323 nand2_1, 2 nand2b_1, 3 nand3_1, 7 nand4_1, 1 nand4b_1, 2 nor2_1, 4 nor2b_1, 6 nor3_1, 5 nor3b_1, 8 nor4_1, 1 o21a_1, 12 o21ai_0, 4 o22ai_1, 1 o311ai_0, 1 o41ai_1, 1 or2_0, 1 or3_1, 1 or3b_1, 33 xnor2_1, 24 xor2_1","1*11.26 + 1*8.76 + 6*7.51 + 6*5.0 + 43*10.01 + 10*8.76 + 3*8.76 + 1*6.26 + 1*10.01 + 3*8.76 + 5*6.26 + 8*3.75 + 183*25.02 + 2*26.28 + 76*11.26 + 2*22.52 + 323*3.75 + 2*6.26 + 3*5.0 + 7*6.26 + 1*8.76 + 2*3.75 + 4*6.26 + 6*5.0 + 5*7.51 + 8*6.26 + 1*7.51 + 12*5.0 + 4*6.26 + 1*8.76 + 1*8.76 + 1*6.26 + 1*6.26 + 1*8.76 + 33*8.76 + 24*8.76",8347.45,"0.35 + 0.15 + 0.55 + 1.67 + 0.12 + 0.28",3.12,"1*1.68 + 1*0.42 + 6*5.9 + 6*1.65 + 43*2.43 + 10*4.06 + 3*0.97 + 1*1.48 + 1*6.61 + 3*1.36 + 5*1.92 + 8*1.57 + 183*11.65 + 2*10.52 + 76*4.03 + 2*6.37 + 323*2.12 + 2*2.25 + 3*1.03 + 7*0.53 + 1*1.03 + 2*1.97 + 4*2.18 + 6*0.93 + 5*1.3 + 8*0.5 + 1*2.21 + 12*1.04 + 4*1.31 + 1*0.64 + 1*1.39 + 1*1.26 + 1*1.28 + 1*2.59 + 33*2.07 + 24*4.28",3625.69
"mux4to1","1 mux4_2","1*22.52",22.52,"0.43",0.43,"1*6.37",6.37
"FourBitAdder","2 a21oi_1, 1 and2_0, 2 maj3_1, 3 nand2_1, 1 nand3_1, 1 nor2_1, 1 nor2b_1, 1 nor3_1, 1 o21ai_0, 1 or2_0, 4 xnor2_1","2*5.0 + 1*6.26 + 2*10.01 + 3*3.75 + 1*5.0 + 1*3.75 + 1*6.26 + 1*5.0 + 1*5.0 + 1*6.26 + 4*8.76",113.84,"0.38 + 0.25 + 0.14 + 0.33",1.1,"2*1.65 + 1*1.92 + 2*2.09 + 3*2.12 + 1*1.03 + 1*1.97 + 1*2.18 + 1*0.93 + 1*1.04 + 1*1.26 + 4*2.07",32.45
"math_block","1 a21boi_0, 1 a21o_1, 31 a21oi_1, 2 and2_0, 18 clkinv_1, 62 maj3_1, 13 nand2_1, 4 nand2b_1, 2 nand3_1, 16 nor2_1, 9 nor2b_1, 5 nor3_1, 1 nor3b_1, 2 nor4_1, 1 o211a_1, 4 o21a_1, 4 o21ai_0, 1 o21bai_1, 1 o31a_1, 1 o31ai_1, 1 or2_0, 1 or4_1, 134 xnor2_1, 5 xnor3_1, 50 xor2_1","1*7.51 + 1*7.51 + 31*5.0 + 2*6.26 + 18*3.75 + 62*10.01 + 13*3.75 + 4*6.26 + 2*5.0 + 16*3.75 + 9*6.26 + 5*5.0 + 1*7.51 + 2*6.26 + 1*10.01 + 4*7.51 + 4*5.0 + 1*7.51 + 1*8.76 + 1*7.51 + 1*6.26 + 1*7.51 + 134*8.76 + 5*22.52 + 50*8.76",2937.86,"0.56 + 0.16 + 0.36 + 0.37 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.37 + 0.38 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.39 + 0.37 + 0.38 + 0.37 + 0.11",11.23,"1*2.48 + 1*5.9 + 31*1.65 + 2*1.92 + 18*1.57 + 62*2.09 + 13*2.12 + 4*2.25 + 2*1.03 + 16*1.97 + 9*2.18 + 5*0.93 + 1*1.3 + 2*0.5 + 1*10.66 + 4*2.21 + 4*1.04 + 1*2.87 + 1*2.07 + 1*1.7 + 1*1.26 + 1*0.85 + 134*2.07 + 5*15.62 + 50*4.28",919.81
"decoder","1 conb_1, 1 nand3_1, 2 nand3b_1, 1 or3b_1","1*3.75 + 1*5.0 + 2*7.51 + 1*8.76",32.53,"0.32",0.32,"1*3.24 + 1*1.03 + 2*1.4 + 1*2.59",9.66
"ArithmeticOp","1 a211o_1, 10 a21oi_1, 3 a22o_1, 5 a22oi_1, 1 a311o_1, 1 a31oi_1, 4 and2_0, 8 clkinv_1, 34 maj3_1, 1 mux2i_1, 55 nand2_1, 9 nand2b_1, 6 nand3_1, 8 nand4_1, 17 nor2_1, 17 nor2b_1, 2 nor3_1, 1 o211ai_1, 2 o21a_1, 7 o21ai_0, 2 o21ba_1, 2 o22ai_1, 1 o2bb2ai_1, 1 o31ai_1, 1 o32ai_1, 2 or2_0, 50 xnor2_1, 11 xnor3_1, 32 xor2_1, 9 xor3_1","1*8.76 + 10*5.0 + 3*8.76 + 5*7.51 + 1*10.01 + 1*6.26 + 4*6.26 + 8*3.75 + 34*10.01 + 1*10.01 + 55*3.75 + 9*6.26 + 6*5.0 + 8*6.26 + 17*3.75 + 17*6.26 + 2*5.0 + 1*7.51 + 2*7.51 + 7*5.0 + 2*10.01 + 2*6.26 + 1*8.76 + 1*7.51 + 1*8.76 + 2*6.26 + 50*8.76 + 11*22.52 + 32*8.76 + 9*23.77",2374.68,"0.06 + 0.43 + 0.37 + 0.37 + 0.37 + 0.35 + 0.11 + 0.07 + 0.36 + 0.25 + 0.24 + 0.1 + 0.3 + 0.31 + 0.06",3.75,"1*3.14 + 10*1.65 + 3*4.06 + 5*2.58 + 1*1.57 + 1*1.48 + 4*1.92 + 8*1.57 + 34*2.09 + 1*5.89 + 55*2.12 + 9*2.25 + 6*1.03 + 8*0.53 + 17*1.97 + 17*2.18 + 2*0.93 + 1*0.7 + 2*2.21 + 7*1.04 + 2*7.27 + 2*1.31 + 1*1.85 + 1*1.7 + 1*1.09 + 2*1.26 + 50*2.07 + 11*15.62 + 32*4.28 + 9*15.22",950.62
"HallwayRight","1 a31o_1, 1 a41oi_1, 1 and2_0, 1 and3_1, 8 dfxtp_1, 1 nand2_1, 1 nand3_1, 1 nand4_1, 2 nor2_1, 1 nor3_1, 4 o21a_1, 5 o21bai_1, 2 o41ai_1","1*8.76 + 1*8.76 + 1*6.26 + 1*6.26 + 8*20.02 + 1*3.75 + 1*5.0 + 1*6.26 + 2*3.75 + 1*5.0 + 4*7.51 + 5*7.51 + 2*8.76",302.82,"0.16 + 0.74 + 0.09",0.99,"1*2.37 + 1*1.36 + 1*1.92 + 1*5.59 + 8*8.44 + 1*2.12 + 1*1.03 + 1*0.53 + 2*1.97 + 1*0.93 + 4*2.21 + 5*2.87 + 2*1.39",113.28
"led_Dev_IO","36 clkinv_1, 6 dfrtn_1, 4 dfstp_2, 22 dfxtp_1, 32 mux2_1, 1 nor2b_1","36*3.75 + 6*25.02 + 4*26.28 + 22*20.02 + 32*11.26 + 1*6.26",1197.26,"1.05 + 0.38",1.43,"36*1.57 + 6*11.65 + 4*10.52 + 22*8.44 + 32*4.03 + 1*2.18",485.32
